ProteinId	40C_0h_A	40C_0h_B	40C_0h_C	40C_0.5h_A	40C_0.5h_B	40C_0.5h_C	40C_1h_A	40C_1h_B	40C_1h_C	40C_2h_A	40C_2h_B	40C_2h_C	40C_4h_A	40C_4h_B	40C_4h_C	40C_8h_A	40C_8h_B	40C_8h_C	40C_16h_A	40C_16h_B	40C_16h_C	40C_24h_A	40C_24h_B	40C_24h_C	Synonym	MapMan	MapManDescription	GO	GODescription	Localization
Cre01.g001550.t1.1	7189579.296	20254185.4	19370866.07				29505984.82	21595238.31	32429265.09	34938551.38	52326728.18	28932071.98	44046179.58	9709152.045	32538453.58	17213689.78	16521435.68	19456350.74				18707519.41	15658623.99	15909320.74	TIF3	GMM:29.2.3	protein.synthesis.initiation	GO:0006413;GO:0003743	translational initiation;translation initiation factor activity	Chloroplast
Cre01.g002400.t1.1	53469994.27	59356136.12	47116096.78	56749646.18	28710389.52	39435548.82	47095825.82	50424592.25	54823381.86	33397793.43	38608468.31	45960702.85				56982852.3	77427604.32	47964510.64				69159481.41	46953471.27	84398225.72	TGL1	GMM:11.9.2.1;GMM:11.9.2	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase;lipid metabolism.lipid degradation.lipases	GO:0006629	lipid metabolic process	
Cre01.g012350.t1.2	52592803.89	48648461.06	62000204.13	26397176.36	18142625.7	21827866.67	90663088.81	65147742.03	107060887.5				81285218.9	58147307.5	73118660.81				59311861.09	62287155.95	47670916.21	41293426.99	42063286.38	50535228.37				GO:0006351;GO:0003887;GO:0003677	transcription, DNA-templated;DNA-directed DNA polymerase activity;DNA binding	
Cre01.g024350.t1.2	42488979.18	48952317.25	64471967.76	51608184.13	48726227.19	34781812.75	41986932.49	41379410.99	27078689.41	33165543.79	36079671.41	56061299.38							48538899.75	36938024.01	46741224.61	33131264.85	29568632.67	23769462.26		GMM:28.99	DNA.unspecified	GO:0016021	integral component of membrane	Secretory pathway
Cre01.g032600.t1.1	42375257.48	38397655.48	36788055.36	40201674.76	44079527.27	52706027.34	34993503.26	33769550.22	33883207.13	35784389.86	37462073.77	33642990.21	39255976.65	26063381.3	30770546.64							27583432.63	24770284.82	34196808.26	HPAT1					Secretory pathway
Cre01.g036850.t1.2	30805815.38	52185130.06	15666220.02	61711040.88	34241056.87	39284761.46	74529221.23	61171309.58	33563291.73	62093833.85	46602114.21	53889652.33				34533394.66	29550852.32	27423138.31	10233429.58	19448338.27	28055987.43				PDY1	GMM:13.2.2.2	amino acid metabolism.degradation.glutamate family.proline	GO:0006562;GO:0004657	proline catabolic process;proline dehydrogenase activity	Chloroplast
Cre02.g086600.t1.2	48079909.17	57442013.01	59423106.22				59932853.8	54540776.2	48057374.31	50289454.73	18878978.01	39989760.66	32815307.79	25800832.22	33650004.95	38473983.44	33186466.32	21211191.96	78231325.87	71999106.13	73995543.37									Mitochondrion
Cre02.g097250.t1.1	73172949.89	69593774.7	96002532.35	80706866.44	92687141.38	74671243.13	94092812.34	63847443.48	49873790.45	87522000.37	88587547.32	70748858.43	39496556.52	48702938.34	62664951.79							41908327.47	44736925.77	47339453.28		GMM:29.3.1	protein.targeting.nucleus	GO:0008536;GO:0006886	Ran GTPase binding;intracellular protein transport	
Cre02.g107150.t1.1	49986281.33	47736892.49	52354407.75							78767082.1	58614103.7	87351687.1	93095696.8	45503362.12	71745065.89	115978459.4	114432317.2	111148554.8	105897180.5	130749069.4	121509249.8	139369998.1	158829825.8	199972781.2						Chloroplast
Cre02.g142126.t1.1	75225742.57	55805359.51	58728752.27	61424952.06	49550567.72	60074801.54	45168459.57	45152456.01	53908742.99	53915696.83	54835849.98	58998221.07	49572692.12	43387298.43	39915844.16	35337886.05	33787521.06	39428084.07							FAP115					
Cre02.g145050.t1.2	22441468.48	28416639.53	14541768.95				24068466.53	36426226.85	39723667.41	29884124.24	31106601.06	36563939.13	26604772.19	35313861.13	41173058.16				27419010.93	31489247.76	27527941.67	32084950.77	20914138.63	33539385.12	CMK1	GMM:16.1.1.4	secondary metabolism.isoprenoids.non-mevalonate pathway.CMK	GO:0050515;GO:0016114;GO:0005524	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity;terpenoid biosynthetic process;ATP binding	Chloroplast
Cre03.g155300.t1.1	35247924.15	56231648.18	36024317.14	34682248.24	45093102.76	50489565.47	19689190.8	34125874.8	37635365.3	47030629.41	32302182.88	37979351.24	42881191.91	30355042.04	27048240.07	15217838.3	19231662.77	7740214.59							PHC29					Secretory pathway
Cre03.g167051.t1.2	53629063.85	72973234.19	56213049.73	64494481.64	67301342.06	66886294.8	47685566.95	67831883.84	64468830.29	49839405.99	71595019.47	37960129.59	50637745.95	40615200.14	40998658.42	33891964.93	39917790.89	31667686.48								GMM:18	Co-factor and vitamine metabolism	GO:0009236;GO:0003824	cobalamin biosynthetic process;catalytic activity	
Cre03.g186000.t1.2	48018406.62	44012483.77	41064510.01							66300748.92	50175414.18	64828971.51	47635495.81	41042843.87	46328817.36	38558731.01	49225568.18	50129702.11	62363381.22	86454682.86	52625492.2	52815088.77	65725071.03	62897359.56						Chloroplast
Cre03.g196900.t1.2							83873497.1	53868134.12	56049226.06	71090555.66	78123326.06	75039957.01	78602789.44	55248484.72	66109903.39	77217746.64	47289395.89	69052161.37	80379738.85	61648039.24	65245385.78	125465914.1	149593192.1	120699412.3		GMM:31.4;GMM:29.3.4.1;GMM:28.99	cell.vesicle transport;protein.targeting.secretory pathway.ER;DNA.unspecified	GO:0005789	endoplasmic reticulum membrane	
Cre03.g199150.t1.2	31211328.04	16432405.38	22709228.46							21553970.98	12373075.53	25948348.3	38415742.28	26436765.97	35518211.4	11689860.65	23120931.97	30376444.05	27695799.02	39807510.06	50278587.78	44317139.63	46299453.92	30500777		GMM:23	nucleotide metabolism	GO:0050662;GO:0003824	coenzyme binding;catalytic activity	Mitochondrion
Cre03.g213313.t1.1	29447677.59	21309000.45	28328118.18							29874364.57	30354632.69	27663443.35	21547469.67	12865351.29	22840254.09	49977186.51	38547137.78	44550588.39	56700703.64	46399637.57	31391006.12	28133920.86	33149662.74	52602162.96		GMM:11.1.4	lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase			Mitochondrion
Cre04.g216950.t1.2	20933417.76	17822216.04	21879981.33	30608249.47	47709114.07	15670827.6				47804825.56	34689618.46	52948016.87	34998032.23	26589536.44	33978139.67	54063298.59	33383529.4	54968652.95				19285003.18	24881681.01	15961588.17		GMM:11.1.3	lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase	GO:0016747;GO:0008610;GO:0008152	transferase activity, transferring acyl groups other than amino-acyl groups;lipid biosynthetic process;metabolic process	Chloroplast
